,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
363,Milk,"Milk, dry, not reconstituted, NS as to fat content",11810000,0,1,0,51.98,20,169.2,0.0,0,0,0.951,36.16,653,1.55,27.3,51.98,0.415,3.16,0.2,0.03,0.499,0.77,1257,0.041,0.32,110,968,1794,535,4.08,653,4.03,0.361,6.8,0.0,0.1,3
365,Milk,"Milk, dry, not reconstituted, low fat (1%)",11812000,0,3,0,51.46,22,167.7,0.0,0,0,0.942,35.8,655,1.535,27.0,51.46,0.411,3.13,0.482,0.066,1.107,1.75,1245,0.041,0.32,109,958,1776,530,4.04,655,3.99,0.357,6.7,0.03,0.2,3
366,Milk,"Milk, dry, not reconstituted, fat free (skim)",11813000,0,1,0,51.98,20,169.2,0.0,0,0,0.951,36.16,653,1.55,27.3,51.98,0.415,3.16,0.2,0.03,0.499,0.77,1257,0.041,0.32,110,968,1794,535,4.08,653,4.03,0.361,6.8,0.0,0.1,3
367,Whey,"Whey, sweet, dry",11825000,0,2,0,74.46,6,225.0,0.0,0,0,1.258,12.93,8,2.208,27.2,74.46,0.519,3.19,0.297,0.034,0.684,1.07,796,0.07,0.88,176,932,2080,1079,1.97,8,2.37,0.584,1.5,0.02,0.1,3
368,Cocoa powder,"Cocoa powder, not reconstituted",11830150,0,0,0,57.9,0,12.0,37.0,38,0,2.185,19.6,0,0.241,14.3,1.75,0.078,3.0,4.57,0.44,8.07,13.7,128,3.788,13.86,499,734,1524,21,6.81,0,0.0,0.118,0.0,0.1,2.5,3
370,Chocolate beverage powder,"Chocolate beverage powder, light, dry mix, not reconstituted",11830165,0,0,0,68.31,0,266.9,9.1,0,0,25.6,9.09,0,0.35,21.8,27.27,1.5,7.4,2.119,1.831,0.0,4.5,909,1.818,3.27,410,500,1705,500,13.64,0,0.0,1.818,54.5,0.0,0.0,3
371,Milk,"Milk, malted, dry mix, not reconstituted",11830260,0,0,0,92.96,0,0.0,0.0,0,0,18.182,0.0,1365,0.0,0.0,72.73,1.364,1.28,0.0,0.0,0.0,0.0,909,1.818,16.36,218,0,0,530,13.64,1365,0.0,1.818,54.5,12.27,0.0,3
1145,Chicken liver,"Chicken liver, braised",25110420,11,30,11,0.86,558,287.6,0.0,82,21,10.953,24.26,3945,1.976,81.7,0.0,0.289,66.26,1.404,1.971,2.043,6.46,11,0.492,11.53,25,402,261,398,3.95,3948,16.71,0.749,27.7,0.81,0.0,3
1146,Chicken liver,"Chicken liver, fried",25110450,9,48,9,6.41,392,199.5,0.2,1,34,9.231,19.98,2803,1.851,64.5,0.02,0.286,62.74,2.703,2.385,2.562,8.66,11,0.57,10.04,20,312,230,443,3.08,2809,15.07,0.584,16.3,0.99,1.7,3
1221,Liverwurst,Liverwurst,25230560,0,0,0,3.1,180,255.9,0.0,0,0,8.368,14.5,4220,1.525,58.0,0.0,0.249,50.6,12.731,3.193,9.307,28.5,9,0.24,11.2,11,168,199,977,2.81,4220,20.09,0.33,0.0,0.35,1.6,3
1528,Tuna,"Tuna, fresh, dried",26153170,0,0,0,0.0,122,203.1,0.0,0,0,54.848,76.25,51,0.341,283.1,0.0,0.332,18.84,0.363,0.459,0.538,1.53,12,0.112,2.41,109,869,1378,141,1.16,51,5.85,2.624,0.0,0.75,0.3,3
1571,Octopus,"Octopus, dried",26205170,0,0,0,8.34,182,246.4,0.0,0,0,7.563,56.52,145,0.121,169.8,0.0,0.102,24.0,0.614,0.906,0.861,3.94,201,1.649,20.09,114,705,1327,1312,6.37,145,72.03,1.296,18.0,4.55,0.4,3
1626,Oysters,"Oysters, steamed",26315130,0,0,0,5.42,80,129.4,0.0,0,0,1.658,11.37,23,0.17,39.2,1.24,0.034,77.3,0.504,1.051,0.944,3.4,118,4.837,8.26,36,145,280,509,78.26,23,15.68,0.056,0.0,1.69,2.0,3
1630,Oysters,"Oysters, canned",26315180,0,0,0,4.25,60,88.0,0.0,0,0,1.352,7.67,98,0.18,38.9,0.0,0.163,83.85,0.272,0.803,0.686,2.68,49,4.849,7.28,59,151,249,122,98.86,98,20.79,0.103,5.4,0.92,0.1,3
1631,Oysters,"Oysters, smoked",26315190,0,0,0,4.38,64,104.7,0.0,0,0,1.416,9.2,20,0.145,31.7,1.0,0.028,81.14,0.408,0.851,0.764,2.76,96,4.605,7.43,29,156,251,605,63.32,20,14.1,0.047,0.0,1.37,1.6,3
1885,Oyster fritter,Oyster fritter,27250220,0,1,1,5.22,82,88.8,0.2,52,0,1.056,6.93,80,0.173,30.2,0.39,0.125,69.57,4.547,7.809,2.793,16.22,45,3.28,5.24,42,129,193,420,66.7,80,11.99,0.086,3.1,1.68,24.3,3
2075,Stewed variety meats,"Stewed variety meats, mostly liver, Puerto Rican style",27361010,29,231,17,5.74,201,182.0,1.0,92,510,7.442,15.78,3649,1.369,19.4,1.94,0.106,74.39,0.514,0.513,1.255,2.49,15,5.586,3.13,15,232,278,337,2.73,3670,27.45,0.491,21.1,0.46,4.8,3
2955,Textured vegetable protein,"Textured vegetable protein, dry",41440000,0,24,0,33.92,0,11.3,17.5,0,0,2.612,51.46,0,0.253,1.7,16.42,0.698,7.25,0.208,0.533,0.136,1.22,241,4.065,9.24,290,674,2384,20,2.46,2,0.0,0.574,0.0,0.12,4.1,3
3054,Peanut butter,"Peanut butter, vitamin and mineral fortified",42202200,0,0,0,18.75,0,63.3,5.6,0,0,13.369,25.72,1172,0.105,7.5,10.47,0.083,1.47,24.832,13.847,10.125,50.81,43,1.64,16.6,355,368,667,420,14.4,1172,0.0,2.23,0.0,43.2,0.6,3
3715,Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),53710500,4,8,2,67.61,0,11.2,3.0,37,0,19.267,4.22,603,2.067,5.6,28.98,1.153,16.7,1.989,4.544,1.442,8.67,576,0.142,6.14,37,134,247,354,5.24,604,0.0,1.833,7.8,0.93,15.3,3
3716,Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),53710502,4,8,2,67.61,0,11.2,3.0,37,0,19.267,4.22,603,2.067,5.6,28.98,1.153,16.7,1.989,4.544,1.442,8.67,576,0.142,6.14,37,134,247,354,5.24,604,0.0,1.833,7.8,0.93,15.3,3
3749,Nutrition bar (Balance Original Bar),Nutrition bar (Balance Original Bar),53720100,0,10,0,48.73,1,91.2,3.1,0,0,8.991,28.0,1495,1.708,23.3,34.89,1.628,7.76,8.115,1.969,1.149,12.0,543,0.771,10.9,119,465,678,253,3.52,1496,1.24,0.89,11.2,5.84,1.3,3
3752,Nutrition bar (PowerBar),Nutrition bar (PowerBar),53720300,0,0,0,69.63,0,18.4,5.7,0,0,32.6,14.15,0,1.92,7.8,30.07,8.06,9.83,1.05,0.589,1.32,3.11,504,1.43,11.7,248,614,362,308,9.96,0,5.6,2.2,92.3,8.28,1.1,3
